date,temperature_outside_high,temperature_outside_low,temperature_inside,barometric_pressure,humidity_outside,humidity_inside,wind_speed,wind_direction_prevailing
2025-07-16 11:05:00,24.78,24.72,26.89,1007.93,51.0,46.0,0.0,NNE
2025-07-16 11:10:00,24.61,24.17,26.56,1007.72,49.0,44.0,0.0,ESE
2025-07-16 11:15:00,24.17,23.67,26.22,1007.72,48.0,43.0,0.0,N
2025-07-16 11:20:00,23.72,23.28,25.89,1007.62,48.0,42.0,0.0,N
2025-07-16 11:25:00,23.28,22.94,25.67,1007.72,51.0,44.0,0.0,N
2025-07-16 11:30:00,22.89,22.61,25.5,1007.89,51.0,44.0,0.0,N
2025-07-16 11:35:00,22.61,22.33,25.33,1007.82,53.0,44.0,0.0,NONE
2025-07-16 11:40:00,22.33,22.17,25.06,1007.72,53.0,45.0,0.0,NONE
2025-07-16 11:45:00,22.17,22.0,24.83,1007.86,55.0,46.0,0.0,NONE
2025-07-16 11:50:00,22.0,21.89,24.72,1007.93,58.0,48.0,0.0,NONE
2025-07-16 11:55:00,21.94,21.89,24.83,1007.93,59.0,49.0,0.0,NONE
2025-07-16 12:00:00,21.89,21.89,24.78,1007.93,56.0,48.0,0.0,NONE
2025-07-16 12:05:00,21.89,21.78,24.72,1007.89,56.0,48.0,0.0,N
2025-07-16 12:10:00,21.78,21.67,24.67,1007.96,55.0,47.0,0.0,NONE
2025-07-16 12:15:00,21.67,21.5,24.56,1007.93,55.0,46.0,0.0,NONE
2025-07-16 12:20:00,21.5,21.39,24.56,1007.89,57.0,48.0,0.0,N
2025-07-16 12:25:00,21.39,21.28,24.5,1007.82,56.0,46.0,0.0,NONE
2025-07-16 12:30:00,21.33,21.28,24.44,1007.93,59.0,48.0,0.0,NONE
2025-07-16 12:35:00,21.28,21.28,24.56,1008.06,58.0,48.0,0.0,N
2025-07-16 12:40:00,21.28,21.22,24.5,1007.96,58.0,47.0,0.0,NONE
2025-07-16 12:45:00,21.28,21.22,24.56,1008.06,59.0,50.0,0.0,NNW
2025-07-16 12:50:00,21.28,21.17,24.67,1008.06,57.0,47.0,0.0,SW
2025-07-16 12:55:00,21.17,21.11,24.5,1008.23,58.0,47.0,0.0,NONE
2025-07-16 13:00:00,21.11,21.11,24.44,1008.2,58.0,48.0,0.0,NONE
2025-07-16 13:05:00,21.11,21.06,24.28,1008.33,59.0,48.0,0.0,NONE
2025-07-16 13:10:00,21.11,21.06,24.17,1008.26,61.0,50.0,0.0,NONE
2025-07-16 13:15:00,21.11,21.06,24.11,1008.16,59.0,49.0,0.0,NONE
2025-07-16 13:20:00,21.06,21.0,24.0,1008.26,59.0,48.0,0.0,NONE
